State,LGA,Ward,PU-Code,PU-Name,Full Address,Latitude,Longitude,Accredited_Voters,Registered_Voters,Voter Consistency,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP
YOBE,NGURU,HAUSARI,35-13-06-013,"SARKIN PAWA BAKO, KOFAR SARKIN PAWA BAKO","YOBE NGURU HAUSARI SARKIN PAWA BAKO, KOFAR SARKIN PAWA BAKO ",12.8750106,10.4480856,271,846,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,186,3,140,38
YOBE,NGURU,MAJA-KURA,35-13-08-001,BIRNIN GURU OPEN SPACE,YOBE NGURU MAJA-KURA BIRNIN GURU OPEN SPACE,12.8775114,10.4565159,204,944,OKAY,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,109,0,63,8
YOBE,NGURU,MAJA-KURA,35-13-08-007,KAKORI KOFAR MALAM KALLE,YOBE NGURU MAJA-KURA KAKORI KOFAR MALAM KALLE,12.8870022,10.3610179,86,334,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,43,0,12,31
YOBE,NGURU,MIRBA-KABIR/MIRBA SAGIR,35-13-09-007,ZOMANA KOFAR MAI GARI,YOBE NGURU MIRBA-KABIR/MIRBA SAGIR ZOMANA KOFAR MAI GARI,13.0361022,10.3273368,184,514,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,98,2,29,8
YOBE,NGURU,NGLAIWA,35-13-10-001,"ALGAZARU, KOFAR AL-GAZARU","YOBE NGURU NGLAIWA ALGAZARU, KOFAR AL-GAZARU ",12.8888665,10.4565159,187,1260,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,84,1,248,31
YOBE,NGURU,NGLAIWA,35-13-10-003,"KOFAR LAWAN NGOMA, NGLAIWA PRI. SCH.","YOBE NGURU NGLAIWA KOFAR LAWAN NGOMA, NGLAIWA PRI. SCH. ",12.8841809,10.4516859,612,2736,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,261,2,261,54
YOBE,POTISKUM,BARE-BARE/BAUYA/LALAI DUMBULWA,35-14-01-001,BULAMA B. DALHU KOFAR BULAMA,YOBE POTISKUM BARE-BARE/BAUYA/LALAI DUMBULWA BULAMA B. DALHU KOFAR BULAMA,11.7072355,11.0824912,162,761,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,35,0,111,2
YOBE,POTISKUM,BARE-BARE/BAUYA/LALAI DUMBULWA,35-14-01-011,"LAMBA SULE, KOFAR LAMBA","YOBE POTISKUM BARE-BARE/BAUYA/LALAI DUMBULWA LAMBA SULE, KOFAR LAMBA ",11.6865628,11.0372376,183,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,24,0,149,6
YOBE,POTISKUM,BARE-BARE/BAUYA/LALAI DUMBULWA,35-14-01-019,"REST HOUSE,  RECEPTION","YOBE POTISKUM BARE-BARE/BAUYA/LALAI DUMBULWA REST HOUSE,  RECEPTION ",11.7072355,11.0824912,200,753,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,54,6,114,7
YOBE,POTISKUM,BOLEWA 'A',35-14-02-007,"KOFAR SARKI,  PERMANENT STAND","YOBE POTISKUM BOLEWA 'A' KOFAR SARKI,  PERMANENT STAND ",11.7034151,11.0725901,214,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,38,2,155,14
YOBE,POTISKUM,BOLEWA 'A',35-14-02-008,"LAMBA BABAFI, KOFAR LAMBA","YOBE POTISKUM BOLEWA 'A' LAMBA BABAFI, KOFAR LAMBA ",11.7034151,11.0725901,240,750,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,20,1,210,6
YOBE,POTISKUM,BOLEWA 'A',35-14-02-009,MASALLACIN JUMMA'A,YOBE POTISKUM BOLEWA 'A' MASALLACIN JUMMA'A,11.7034151,11.0725901,144,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,19,0,122,1
YOBE,POTISKUM,BOLEWA 'B',35-14-03-001,BAYI MOI OPEN SPACE,YOBE POTISKUM BOLEWA 'B' BAYI MOI OPEN SPACE,11.7043218,11.0853202,227,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,22,1,192,7
YOBE,POTISKUM,BOLEWA 'B',35-14-03-009,"KWATA, KWATA PRI. SCH. II","YOBE POTISKUM BOLEWA 'B' KWATA, KWATA PRI. SCH. II ",11.702886,11.0793306,371,1291,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,110,2,228,13
YOBE,POTISKUM,BOLEWA 'B',35-14-03-015,"T.JUNCTION, T.JUNCTION I","YOBE POTISKUM BOLEWA 'B' T.JUNCTION, T.JUNCTION I ",11.7043218,11.0853202,538,1702,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,71,6,410,17
YOBE,POTISKUM,DOGO NINI,35-14-05-001,"AREWA DA KASUWA, KOFAR HASSAN","YOBE POTISKUM DOGO NINI AREWA DA KASUWA, KOFAR HASSAN ",11.7175825,11.070927,267,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,48,0,173,23
YOBE,POTISKUM,DOGO NINI,35-14-05-005,"ARI KIME A.A., KOFAR ABARE","YOBE POTISKUM DOGO NINI ARI KIME A.A., KOFAR ABARE ",11.7211448,11.0853202,192,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,27,0,214,7
YOBE,POTISKUM,DOGO NINI,35-14-05-010,"DAUDA 'B',  KOFAR DAUDA","YOBE POTISKUM DOGO NINI DAUDA 'B',  KOFAR DAUDA ",11.7211448,11.0853202,194,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,68,3,112,5
YOBE,POTISKUM,DOGO TEBO,35-14-06-009,"M.INUWA, KOFAR M.INUWA","YOBE POTISKUM DOGO TEBO M.INUWA, KOFAR M.INUWA ",11.725847,11.0725901,256,681,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,31,1,203,14
YOBE,POTISKUM,NGOJIN/ALARABA,35-14-09-007,"FARAFARA,   PRI. SCH.","YOBE POTISKUM NGOJIN/ALARABA FARAFARA,   PRI. SCH. ",11.6523174,11.1752516,287,919,OKAY,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,204,0,47,1
YOBE,POTISKUM,NGOJIN/ALARABA,35-14-09-009,"KAKA BIJIK, KOFAR BULAMA","YOBE POTISKUM NGOJIN/ALARABA KAKA BIJIK, KOFAR BULAMA ",11.6035596,11.2040374,153,475,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,88,0,60,1
YOBE,POTISKUM,YERIMARAM/GARIN DAYE/BADEJO/NAHUTA,35-14-10-002,"BADEJO,  PRI. SCH.","YOBE POTISKUM YERIMARAM/GARIN DAYE/BADEJO/NAHUTA BADEJO,  PRI. SCH. ",11.6558562,11.1012573,221,868,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,110,15,60,1
YOBE,TARMUWA,BARKAMI / BULTURI,35-15-02-005,ZARAMIRI LAWANTI OPEN SPACE,YOBE TARMUWA BARKAMI / BULTURI ZARAMIRI LAWANTI OPEN SPACE,12.1927516,12.0946818,117,727,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,58,0,15,0
YOBE,YUNUSARI,BULTUWA/MAR/YARO,35-16-01-004,"LURAM,. DANDALI","YOBE YUNUSARI BULTUWA/MAR/YARO LURAM,. DANDALI ",12.9593287,12.0946818,102,561,OKAY,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,68,0,30,1
YOBE,YUNUSARI,DEGALTURA/NGAMZAI,35-16-03-003,"BUHARI,  PRI. SCH.","YOBE YUNUSARI DEGALTURA/NGAMZAI BUHARI,  PRI. SCH. ",13.0900691,12.2412468,39,964,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,29,0,8,2
YOBE,YUNUSARI,MAIRARI,35-16-06-004,"BULAMA HAYATU,  PRI. SCH. I","YOBE YUNUSARI MAIRARI BULAMA HAYATU,  PRI. SCH. I ",13.1008515,12.1048604,178,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,78,1,31,61
YOBE,YUNUSARI,MAIRARI,35-16-06-007,"FAYA KAFIYA, DANDALI","YOBE YUNUSARI MAIRARI FAYA KAFIYA, DANDALI ",13.0541439,12.0032957,103,1028,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,40,0,42,10
YOBE,YUNUSARI,MAIRARI,35-16-06-011,"MAIRARI,  PRI. SCH.","YOBE YUNUSARI MAIRARI MAIRARI,  PRI. SCH. ",13.0255716,12.0071317,130,793,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,0,6,0
YOBE,YUNUSARI,WADI/KAFIYA,35-16-09-006,GONI CHAMMAMI OPENSPACE,YOBE YUNUSARI WADI/KAFIYA GONI CHAMMAMI OPENSPACE,13.0235502,11.6840589,179,486,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,153,0,22,0
YOBE,YUNUSARI,WADI/KAFIYA,35-16-09-012,"MANAWAJI,   PRI. SCH.","YOBE YUNUSARI WADI/KAFIYA MANAWAJI,   PRI. SCH. ",13.0619417,11.597507,138,576,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,17,1,12,2
YOBE,YUSUFARI,ALANJIRORI,35-17-01-007,NJEREREWA OPEN SPACE,YOBE YUSUFARI ALANJIRORI NJEREREWA OPEN SPACE,13.1840041,11.1390878,0,320,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,69,0,0,0
YOBE,YUSUFARI,MAYORI,35-17-09-009,"ISAKARI BULIN, KOFAR ISAKA","YOBE YUSUFARI MAYORI ISAKARI BULIN, KOFAR ISAKA ",13.2638144,10.5069159,119,402,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,74,0,37,3
YOBE,BADE,GWIO-KURA,35-01-02-010,GWIO BULAMA'S GATE II,YOBE BADE GWIO-KURA GWIO BULAMA'S GATE II,12.6985283,11.1029152,124,419,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,49,0,56,2
YOBE,BADE,KATUZU,35-01-03-012,UNGUWAR MAL. SALEH II,YOBE BADE KATUZU UNGUWAR MAL. SALEH II,12.8570167,11.0231001,24,43,OKAY,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,1,14,1
YOBE,BADE,KATUZU,35-01-03-015,AGRIC STORE OFFICE I,YOBE BADE KATUZU AGRIC STORE OFFICE I,12.8570167,11.0231001,28,47,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,4,2,17,3
YOBE,BADE,LAWAN AUDU/LAWAN AL - WALI,35-01-04-017,RAMAT G D J S S III,YOBE BADE LAWAN AUDU/LAWAN AL - WALI RAMAT G D J S S III,12.8796902,11.0231001,15,52,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,1,1,10,2
YOBE,BADE,LAWAN AUDU/LAWAN AL - WALI,35-01-04-027,ASIBITIN AGANA VII,YOBE BADE LAWAN AUDU/LAWAN AL - WALI ASIBITIN AGANA VII,12.8796902,11.0231001,99,507,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,12,0,69,10
YOBE,BADE,LAWAN FANNAMI,35-01-05-017,BABUJE PRIMARY SCHOOL  II,YOBE BADE LAWAN FANNAMI BABUJE PRIMARY SCHOOL  II,12.8782132,11.0370608,78,571,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,16,1,57,2
YOBE,BADE,SARKIN HAUSAWA,35-01-07-014,ALH. SIDI ALI MAI AJI CINEMA,YOBE BADE SARKIN HAUSAWA ALH. SIDI ALI MAI AJI CINEMA,12.8447255,11.045721,120,466,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,18,0,81,11
YOBE,BADE,USUR/DAWAYO,35-01-09-018,AZAM KURA III,YOBE BADE USUR/DAWAYO AZAM KURA III,12.84228,10.901604,46,262,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,18,0,8,17
YOBE,BADE,USUR/DAWAYO,35-01-09-013,AZBAK BULAMA GATE,YOBE BADE USUR/DAWAYO AZBAK BULAMA GATE,12.8583,10.9552,17,55,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,4,1,9,3
YOBE,DAMATURU,GAMBIR/MADURI,35-03-04-007,"MADURI BOREHOLE OPPOSITE ""B"" DIVISION","YOBE DAMATURU GAMBIR/MADURI MADURI BOREHOLE OPPOSITE ""B"" DIVISION ",11.7363108,12.0099235,35,59,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,24,4,27,1
YOBE,GEIDAM,SHAME KURA / DILAWA,35-06-10-010,KALGERI II,YOBE GEIDAM SHAME KURA / DILAWA KALGERI II,12.8672639,11.899866,30,70,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,10,0,19,1
YOBE,JAKUSKO,LAFIYA LOI-LOI,35-09-08-013,GAMAJAM PRIMARY SCHOOL,YOBE JAKUSKO LAFIYA LOI-LOI GAMAJAM PRIMARY SCHOOL,12.2119005,11.0694079,24,43,OKAY,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,0,8,6
YOBE,JAKUSKO,MUGURAM,35-09-09-007,MUGURAM PRIMARY SCHOOL II,YOBE JAKUSKO MUGURAM MUGURAM PRIMARY SCHOOL II,12.271785,11.105431,25,60,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,6,0,15,3
YOBE,POTISKUM,BARE-BARE/BAUYA/LALAI DUMBULWA,35-14-01-036,KILA KWATA OPEN SPACE II,YOBE POTISKUM BARE-BARE/BAUYA/LALAI DUMBULWA KILA KWATA OPEN SPACE II,11.6865628,11.0372376,197,481,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,52,1,119,16
YOBE,POTISKUM,BARE-BARE/BAUYA/LALAI DUMBULWA,35-14-01-039,MAI BAUYA KOFAR BULAMA II,YOBE POTISKUM BARE-BARE/BAUYA/LALAI DUMBULWA MAI BAUYA KOFAR BULAMA II,11.7072355,11.0824912,134,448,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,18,0,102,7
YOBE,POTISKUM,BARE-BARE/BAUYA/LALAI DUMBULWA,35-14-01-042,M. IYAM II,YOBE POTISKUM BARE-BARE/BAUYA/LALAI DUMBULWA M. IYAM II,11.7072355,11.0824912,4,6,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,1,0,3,0
YOBE,POTISKUM,DANCHUWA/BULA,35-14-04-024,DANCHUWA DISPENSARY II,YOBE POTISKUM DANCHUWA/BULA DANCHUWA DISPENSARY II,11.7200939,11.0870614,9,16,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,4,0,5,0
YOBE,POTISKUM,DOGO NINI,35-14-05-024,"ARI KIME A.A., KOFAR DOGO MAI KEMI II","YOBE POTISKUM DOGO NINI ARI KIME A.A., KOFAR DOGO MAI KEMI II ",11.7211448,11.0853202,31,320,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,4,0,26,0
YOBE,POTISKUM,DOGO NINI,35-14-05-032,"DABO STADIUM II, GATE VI","YOBE POTISKUM DOGO NINI DABO STADIUM II, GATE VI ",11.7211448,11.0853202,166,750,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,21,0,124,3
YOBE,POTISKUM,DOGO NINI,35-14-05-045,"GABAR DA KASUWA,GABAR DA KASUWA II","YOBE POTISKUM DOGO NINI GABAR DA KASUWA,GABAR DA KASUWA II ",11.7211448,11.0853202,87,393,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,16,1,63,6
YOBE,YUSUFARI,KASKA/TULOTULOWA,35-17-06-010,TULOTULO KASUWAN SHANU,YOBE YUSUFARI KASKA/TULOTULOWA TULOTULO KASUWAN SHANU,13.2649479,10.8451467,74,104,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,49,0,9,0
YOBE,FIKA,GADAKA/SHEMBIRE,35-04-03-034,MADAKI OPEN SPACE,YOBE FIKA GADAKA/SHEMBIRE MADAKI OPEN SPACE,11.3322295,11.2297105,26,39,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,16,0,10,0
YOBE,FIKA,GADAKA/SHEMBIRE,35-04-03-035,MUSA KULE OPEN SPACE,YOBE FIKA GADAKA/SHEMBIRE MUSA KULE OPEN SPACE,11.3322295,11.2297105,94,346,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,21,0,66,0
YOBE,FIKA,GADAKA/SHEMBIRE,35-04-03-038,SABON LAYI PRI. SCH,YOBE FIKA GADAKA/SHEMBIRE SABON LAYI PRI. SCH,11.3322295,11.2297105,137,388,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,29,0,99,0
YOBE,NANGERE,DAZIGAU,35-12-04-014,YARU KOFAR MAIGARI II,YOBE NANGERE DAZIGAU YARU KOFAR MAIGARI II,11.7176498,10.9992479,67,102,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,12,4,47,0
YOBE,NANGERE,TIKAU,35-12-10-020,"JAKADAI II K,K KOFAR MAIGARI IV","YOBE NANGERE TIKAU JAKADAI II K,K KOFAR MAIGARI IV ",11.7712383,11.0863811,51,168,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,6,0,39,2
YOBE,NGURU,BULABULIN,35-13-01-018,COLLEGE OF EDUCATION,YOBE NGURU BULABULIN COLLEGE OF EDUCATION,12.8539035,10.4790006,23,72,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,3,7,5,3
YOBE,NGURU,KANURI,35-13-07-015,TUBORI JUCTION HAND PUMP,YOBE NGURU KANURI TUBORI JUCTION HAND PUMP,12.8775114,10.4565159,50,91,OKAY,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,23,0,20,7
YOBE,NGURU,NGLAIWA,35-13-10-014,LAYIN GONI KIME JUNCTION,YOBE NGURU NGLAIWA LAYIN GONI KIME JUNCTION,12.8888665,10.4565159,27,53,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,6,0,16,5
YOBE,YUNUSARI,MOZOGUN/KUJARI,35-16-07-009,KUJARI VIEW CENTRE,YOBE YUNUSARI MOZOGUN/KUJARI KUJARI VIEW CENTRE,12.8925157,11.7126563,44,97,OKAY,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,27,0,15,2
